|       | Mike Tyson Boxing                                                                                      | Codemasters                         | PlayStation | 2000 | Europe
|       | Mille Miglia                                                                                           | SCi                                 | PlayStation | 2000 | Europe
|       | Millennium Soldier: Expendable                                                                         | Infogrames                          | PlayStation | 2000 | Europe
|       | Miracle Space Race                                                                                     | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | Misadventures of Tron Bonne, The                                                                       | Eidos Interactive                   | PlayStation | 2000 | Europe
|       | Missile Command                                                                                        | Hasbro Interactive                  | PlayStation | 2000 | Europe
|       | Mission, The                                                                                           | Microids                            | PlayStation | 2000 | Europe
|       | Mission: Impossible                                                                                    | Infogrames                          | PlayStation | 2000 | Europe
|       | Mobil 1 Rally Championship                                                                             | Electronic Arts                     | PlayStation | 2000 | Europe
|       | Mobile Light Force                                                                                     | XS Games                            | PlayStation | 2002 | Europe
|       | Moho                                                                                                   | Take-Two Interactive                | PlayStation | 2000 | Europe
|       | Monaco Grand Prix Racing Simulation                                                                    | Ubisoft                             | PlayStation | 1999 | Europe
|       | Monopoly                                                                                               | Hasbro Interactive                  | PlayStation | 1997 | Europe
|       | Monster Racer                                                                                          | Microids                            | PlayStation | 2001 | Europe
|       | Monster Rancher                                                                                        | SCEE                                | PlayStation | 2000 | Europe
|       | Monster Trucks                                                                                         | Psygnosis                           | PlayStation | 1997 | Europe
|       | Monsters, Inc. Scare Island                                                                            | SCEE                                | PlayStation | 2002 | Europe
|       | Monsterseed                                                                                            | SunSoft                             | PlayStation | 1999 | Europe
|       | Monte Carlo Games Compendium                                                                           | Midas Interactive Entertainment     | PlayStation | 2002 | Europe
|       | Moorhen 3: Chicken Chase                                                                               | Ubisoft                             | PlayStation | 2002 | Europe
|       | Moorhuhn Kart XXL                                                                                      | Phenomedia                          | PlayStation | 2003 | Europe
|       | Moorhuhn X                                                                                             | Phenomedia                          | PlayStation | 2005 | Europe
|       | Mort the Chicken                                                                                       | Crave                               | PlayStation | 2001 | Europe
|       | Mortal Kombat 3                                                                                        | SCEE                                | PlayStation | 1995 | Europe
|       | Mortal Kombat 4                                                                                        | GT Interactive                      | PlayStation | 1998 | Europe
|       | Mortal Kombat Mythologies: Sub-Zero                                                                    | GT Interactive                      | PlayStation | 1997 | Europe
|       | Mortal Kombat Trilogy                                                                                  | Midway                              | PlayStation | 1996 | Europe
|       | Mortal Kombat: Special Forces                                                                          | Midway                              | PlayStation | 2000 | Europe
|       | Moses Prince of Egypt                                                                                  | Midas Interactive Entertainment     | PlayStation | 2000 | Europe
|       | Moto Racer                                                                                             | Electronic Arts                     | PlayStation | 1997 | Europe
|       | Moto Racer 2                                                                                           | Electronic Arts                     | PlayStation | 1998 | Europe
|       | Moto Racer World Tour                                                                                  | Delphine Software International     | PlayStation | 2000 | Europe
|       | Motocross Mania                                                                                        | Take-Two Interactive                | PlayStation | 2001 | Europe
|       | Motocross Mania 2                                                                                      | Take-Two Interactive                | PlayStation | 2003 | Europe
|       | Motor Mash                                                                                             | Ocean                               | PlayStation | 1997 | Europe
|       | Motor Toon Grand Prix 2                                                                                | SCEE                                | PlayStation | 1996 | Europe
|       | Motorhead                                                                                              | Gremlin Interactive                 | PlayStation | 1998 | Europe
|       | Mr. Driller                                                                                            | SCEE                                | PlayStation | 2000 | Europe
|       | Ms. Pac-Man Maze Madness                                                                               | SCEE                                | PlayStation | 2000 | Europe
|       | MTV Sports: Pure Ride                                                                                  | THQ                                 | PlayStation | 2000 | Europe
|       | MTV Sports: Skateboarding featuring Andy Macdonald                                                     | THQ                                 | PlayStation | 2000 | Europe
|       | MTV Sports: Snowboarding                                                                               | THQ                                 | PlayStation | 1999 | Europe
|       | MTV Sports: T.J. Lavin's Ultimate BMX                                                                  | THQ                                 | PlayStation | 2001 | Europe
|       | MTV's Celebrity Deathmatch                                                                             | Gotham Games                        | PlayStation | 2003 | Europe
|       | Mummy, The                                                                                             | Konami                              | PlayStation | 2000 | Europe
|       | Muppet Monster Adventure                                                                               | Midway                              | PlayStation | 2000 | Europe
|       | Muppet RaceMania                                                                                       | SCEE                                | PlayStation | 2000 | Europe
|       | Music 2000                                                                                             | Codemasters                         | PlayStation | 1999 | Europe
|       | Music: Music Creation for the PlayStation                                                              | Codemasters                         | PlayStation | 1998 | Europe
|       | Myst                                                                                                   | Psygnosis                           | PlayStation | 1996 | Europe
|       | N2O                                                                                                    | Gremlin Interactive                 | PlayStation | 1998 | Europe
|       | Nagano Winter Olympics '98                                                                             | Konami                              | PlayStation | 1998 | Europe
|       | Namco Museum Vol. 1                                                                                    | SCEE                                | PlayStation | 1996 | Europe
|       | Namco Museum Vol. 2                                                                                    | SCEE                                | PlayStation | 1996 | Europe
|       | Namco Museum Vol. 3                                                                                    | SCEE                                | PlayStation | 1997 | Europe
|       | Namco Museum Vol. 4                                                                                    | SCEE                                | PlayStation | 1997 | Europe
|       | Namco Museum Vol. 5                                                                                    | SCEE                                | PlayStation | 1998 | Europe
|       | Namco Soccer Prime Goal                                                                                | SCEE                                | PlayStation | 1996 | Europe
|       | Namco Tennis Smash Court                                                                               | SCEE                                | PlayStation | 1996 | Europe
|       | Nanotek Warrior                                                                                        | Virgin Interactive                  | PlayStation | 1997 | Europe
|       | Nascar '99                                                                                             | Electronic Arts                     | PlayStation | 1998 | Europe
|       | NASCAR 2000                                                                                            | Electronic Arts                     | PlayStation | 1999 | Europe
|       | NASCAR 98                                                                                              | Electronic Arts                     | PlayStation | 1997 | Europe
|       | NBA Basketball 2000                                                                                    | Fox Interactive                     | PlayStation | 1999 | Europe
|       | NBA Fastbreak '98                                                                                      | GT Interactive                      | PlayStation | 1998 | Europe
|       | NBA Hoopz                                                                                              | Midway                              | PlayStation | 2001 | Europe
|       | NBA In the Zone                                                                                        | Konami                              | PlayStation | 1996 | Europe
|       | NBA In the Zone 2                                                                                      | Konami                              | PlayStation | 1997 | Europe
|       | NBA In The Zone 2000                                                                                   | Konami                              | PlayStation | 2000 | Europe
|       | NBA Jam Extreme                                                                                        | Acclaim                             | PlayStation | 1996 | Europe
|       | NBA Jam Tournament Edition                                                                             | Acclaim                             | PlayStation | 1996 | Europe
|       | NBA Live 2000                                                                                          | Electronic Arts                     | PlayStation | 1999 | Europe
|       | NBA Live 2001                                                                                          | Electronic Arts                     | PlayStation | 2000 | Europe
|       | NBA Live 2002                                                                                          | Electronic Arts                     | PlayStation | 2001 | Europe
|       | NBA Live 2003                                                                                          | Electronic Arts                     | PlayStation | 2002 | Europe
|       | NBA Live 96                                                                                            | Electronic Arts                     | PlayStation | 1996 | Europe
|       | NBA Live 97                                                                                            | Electronic Arts                     | PlayStation | 1996 | Europe
|       | NBA Live 98                                                                                            | Electronic Arts                     | PlayStation | 1997 | Europe
|       | NBA Live 99                                                                                            | Electronic Arts                     | PlayStation | 1998 | Europe
|       | NBA Pro 98                                                                                             | Konami                              | PlayStation | 1998 | Europe
|       | NBA Pro 99                                                                                             | Konami                              | PlayStation | 1999 | Europe
|       | NBA Showtime: NBA on NBC                                                                               | Midway                              | PlayStation | 2000 | Europe
|       | Necronomicon: The Dawning of Darkness                                                                  | Wanadoo                             | PlayStation | 2001 | Europe
|       | Need for Speed II                                                                                      | Electronic Arts                     | PlayStation | 1997 | Europe
|       | Need for Speed III: Hot Pursuit                                                                        | Electronic Arts                     | PlayStation | 1998 | Europe
|       | Need for Speed: Porsche 2000                                                                           | Electronic Arts                     | PlayStation | 2000 | Europe
|       | Need for Speed: Road Challenge                                                                         | Electronic Arts                     | PlayStation | 1999 | Europe
|       | Newcomer: Be A Popstar                                                                                 | Eidos Interactive                   | PlayStation | 2001 | Europe
|       | Newman Haas Racing                                                                                     | Psygnosis                           | PlayStation | 1998 | Europe
|       | Next Tetris, The                                                                                       | Hasbro Interactive                  | PlayStation | 1999 | Europe
|       | NFL Blitz 2000                                                                                         | Midway                              | PlayStation | 1999 | Europe
|       | NFL Gameday                                                                                            | SCEE                                | PlayStation | 1996 | Europe
|       | NFL Quarterback Club 97                                                                                | Acclaim                             | PlayStation | 1997 | Europe
|       | NFL Xtreme                                                                                             | SCEE                                | PlayStation | 1998 | Europe
|       | NGEN Racing                                                                                            | Infogrames                          | PlayStation | 2000 | Europe
|       | NHL 2000                                                                                               | Electronic Arts                     | PlayStation | 1999 | Europe
|       | NHL 2001                                                                                               | Electronic Arts                     | PlayStation | 2000 | Europe
|       | NHL 97                                                                                                 | Electronic Arts                     | PlayStation | 1996 | Europe
|       | NHL 98                                                                                                 | Electronic Arts                     | PlayStation | 1997 | Europe
|       | NHL 99                                                                                                 | EA Sports                           | PlayStation | 1998 | Europe
|       | NHL Blades of Steel 2000                                                                               | Konami                              | PlayStation | 2000 | Europe
|       | NHL Breakaway 98                                                                                       | Acclaim                             | PlayStation | 1997 | Europe
|       | NHL Championship 2000                                                                                  | Fox Interactive                     | PlayStation | 1999 | Europe
|       | NHL Face Off '97                                                                                       | SCEE                                | PlayStation | 1997 | Europe
|       | NHL Faceoff                                                                                            | SCEE                                | PlayStation | 1996 | Europe
|       | NHL FaceOff 2000                                                                                       | SCEE                                | PlayStation | 1999 | Europe
|       | NHL FaceOff 98                                                                                         | SCEE                                | PlayStation | 1998 | Europe
|       | NHL FaceOff 99                                                                                         | 989 Sports                          | PlayStation | 1998 | Europe
|       | NHL Powerplay                                                                                          | Virgin Interactive                  | PlayStation | 1997 | Europe
|       | NHL Powerplay 98                                                                                       | Virgin Interactive                  | PlayStation | 1998 | Europe
|       | NHL Rock the Rink                                                                                      | Electronic Arts                     | PlayStation | 2000 | Europe
|       | Nice Cats                                                                                              | Midas Interactive Entertainment     | PlayStation | 2000 | Europe
|       | NickToons Racing                                                                                       | Infogrames                          | PlayStation | 2001 | Europe
|       | Nightmare Creatures                                                                                    | SCEE                                | PlayStation | 1998 | Europe
|       | Nightmare Creatures II                                                                                 | Konami                              | PlayStation | 2000 | Europe
|       | Ninja: Shadow of Darkness                                                                              | Eidos Interactive                   | PlayStation | 1998 | Europe
|       | No Fear Downhill Mountain Biking                                                                       | Codemasters                         | PlayStation | 1999 | Europe
|       | No One Can Stop Mr. Domino                                                                             | JVC Digital Studios                 | PlayStation | 1998 | Europe
|       | Noddy's Magic Adventure                                                                                | BBC Multimedia                      | PlayStation | 2000 | Europe
|       | Note, The                                                                                              | SunSoft                             | PlayStation | 1997 | Europe
|       | Novastorm                                                                                              | Psygnosis                           | PlayStation | 1995 | Europe
|       | Nuclear Strike                                                                                         | Electronic Arts                     | PlayStation | 1997 | Europe
|       | O.D.T.                                                                                                 | Psygnosis                           | PlayStation | 1998 | Europe
|       | Oddworld: Abe's Exoddus                                                                                | GT Interactive                      | PlayStation | 1998 | Europe
|       | Oddworld: Abe's Oddysee                                                                                | GT Interactive                      | PlayStation | 1997 | Europe
|       | Off-World Interceptor Extreme                                                                          | Crystal Dynamics                    | PlayStation | 1995 | Europe
|       | Olympic Games: Atlanta 1996                                                                            | U.S. Gold                           | PlayStation | 1996 | Europe
|       | Olympic Soccer: Atlanta 1996                                                                           | U.S. Gold                           | PlayStation | 1996 | Europe
|       | Omega Assault                                                                                          | Phoenix Games                       | PlayStation | 2004 | Europe
|       | Omega Boost                                                                                            | SCEE                                | PlayStation | 1999 | Europe
|       | One                                                                                                    | Take-Two Interactive                | PlayStation | 1998 | Europe
|       | One Piece Grand Battle!                                                                                | Atari SA                            | PlayStation | 2003 | Europe
|       | One Piece Mansion                                                                                      | Capcom                              | PlayStation | 2001 | Europe
|       | ONSIDE Complete Soccer                                                                                 | Telstar                             | PlayStation | 1996 | Europe
|       | OverBlood                                                                                              | Electronic Arts                     | PlayStation | 1997 | Europe
|       | OverBlood 2                                                                                            | Evolution Games                     | PlayStation | 2001 | Europe
|       | Overboard!                                                                                             | Psygnosis                           | PlayStation | 1998 | Europe
|       | Pac-Man World                                                                                          | SCEE                                | PlayStation | 2000 | Europe
|       | Pajama Sam: You are What you Eat from Your Head to Your Feet                                           | Infogrames                          | PlayStation | 2001 | Europe
|       | Pandemonium 2                                                                                          | BMG Interactive Entertainment       | PlayStation | 1997 | Europe
|       | Pandemonium!                                                                                           | BMG Interactive Entertainment       | PlayStation | 1996 | Europe
|       | Panzer Front                                                                                           | JVC Digital Studios                 | PlayStation | 2001 | Europe
|       | Panzer General                                                                                         | Mindscape                           | PlayStation | 1996 | Europe
|       | Paradise Casino                                                                                        | Phoenix Games                       | PlayStation | 2003 | Europe
|       | PaRappa The Rapper                                                                                     | SCEE                                | PlayStation | 1997 | Europe
|       | Parasite Eve II                                                                                        | SquareSoft                          | PlayStation | 2000 | Europe
|       | Paris-Marseille Racing                                                                                 | Davilex                             | PlayStation | 2000 | Europe
|       | Paris-Marseille Racing II                                                                              | Davilex                             | PlayStation | 2002 | Europe
|       | Parodius                                                                                               | Konami                              | PlayStation | 1996 | Europe
|       | Party Time With Winnie the Pooh                                                                        | SCEE                                | PlayStation | 2001 | Europe
|       | Patriotic Pinball                                                                                      | Gotham Games                        | PlayStation | 2003 | Europe
|       | Pax Corpus                                                                                             | Electronic Arts                     | PlayStation | 1997 | Europe
|       | Peak Performance                                                                                       | JVC Digital Studios                 | PlayStation | 1997 | Europe
|       | Penny Racers                                                                                           | SCEE                                | PlayStation | 1996 | Europe
|       | Perfect Assassin                                                                                       | Grolier Interactive                 | PlayStation | 1997 | Europe
|       | Perfect Weapon                                                                                         | American Softworks                  | PlayStation | 1997 | Europe
|       | Pet in TV                                                                                              | SCEE                                | PlayStation | 1998 | Europe
|       | PGA European Tour Golf                                                                                 | Infogrames                          | PlayStation | 1999 | Europe
|       | PGA Tour 96                                                                                            | Electronic Arts                     | PlayStation | 1995 | Europe
|       | PGA Tour 97                                                                                            | Electronic Arts                     | PlayStation | 1997 | Europe
|       | PGA Tour 98                                                                                            | Electronic Arts                     | PlayStation | 1997 | Europe
|       | Phat Air: Extreme Snowboarding                                                                         | Funsoft                             | PlayStation | 1998 | Europe
|       | Philosoma                                                                                              | SCEE                                | PlayStation | 1996 | Europe
|       | Pinball Power                                                                                          | Midas Interactive Entertainment     | PlayStation | 2000 | Europe
|       | Pink Panther: Pinkadelic Pursuit                                                                       | Wanadoo                             | PlayStation | 2002 | Europe
|       | Pinobee                                                                                                | Hudson                              | PlayStation | 2003 | Europe
|       | Pipemania 3D                                                                                           | Empire Interactive                  | PlayStation | 2001 | Europe
|       | Pitball                                                                                                | Time Warner Interactive             | PlayStation | 1996 | Europe
|       | Pitfall 3D: Beyond the Jungle                                                                          | Activision                          | PlayStation | 1998 | Europe
|       | Plane Crazy                                                                                            | Inner Workings, Ltd.                | PlayStation | 1999 | Europe
|       | Planet of the Apes                                                                                     | Ubisoft                             | PlayStation | 2002 | Europe
|       | Play Zone CD Vol. 18                                                                                   | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | Play Zone CD Vol. 19                                                                                   | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | Play Zone CD Vol. 20                                                                                   | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | Play Zone CD Vol. 21                                                                                   | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | Play Zone CD Vol. 22                                                                                   | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | Play Zone CD Vol. 23                                                                                   | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | Play Zone CD Vol. 24                                                                                   | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | Play Zone CD Vol. 25                                                                                   | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | Player Manager                                                                                         | Softgold                            | PlayStation | 1997 | Europe
|       | Player Manager Ninety Nine                                                                             | Infogrames                          | PlayStation | 1999 | Europe
|       | PlayStation Demo 1                                                                                     | SCEE                                | PlayStation | 1998 | Europe
|       | PlayStation Zone Demo CD Vol. 1                                                                        | CompuTec Verlag                     | PlayStation | 1998 | Europe
|       | PlayStation Zone Demo CD Vol. 10                                                                       | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PlayStation Zone Demo CD Vol. 11                                                                       | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PlayStation Zone Demo CD Vol. 12                                                                       | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PlayStation Zone Demo CD Vol. 13                                                                       | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PlayStation Zone Demo CD Vol. 14                                                                       | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | PlayStation Zone Demo CD Vol. 15                                                                       | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | PlayStation Zone Demo CD Vol. 16                                                                       | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | PlayStation Zone Demo CD Vol. 17                                                                       | CompuTec Verlag                     | PlayStation | 2000 | Europe
|       | PlayStation Zone Demo CD Vol. 2                                                                        | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PlayStation Zone Demo CD Vol. 3                                                                        | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PlayStation Zone Demo CD Vol. 4                                                                        | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PlayStation Zone Demo CD Vol. 5                                                                        | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PlayStation Zone Demo CD Vol. 6                                                                        | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PlayStation Zone Demo CD Vol. 7                                                                        | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PlayStation Zone Demo CD Vol. 8                                                                        | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PlayStation Zone Demo CD Vol. 9                                                                        | CompuTec Verlag                     | PlayStation | 1999 | Europe
|       | PO'ed                                                                                                  | Time Warner Interactive             | PlayStation | 1996 | Europe
|       | Pocket Fighter                                                                                         | Virgin Interactive                  | PlayStation | 1998 | Europe
|       | Point Blank                                                                                            | SCEE                                | PlayStation | 1998 | Europe
|       | Point Blank 2                                                                                          | SCEE                                | PlayStation | 1999 | Europe
|       | Point Blank 3                                                                                          | SCEE                                | PlayStation | 2001 | Europe
|       | Pong                                                                                                   | Hasbro Interactive                  | PlayStation | 1999 | Europe
|       | Pool Academy                                                                                           | Ubisoft                             | PlayStation | 2000 | Europe
|       | Pool Palace                                                                                            | Activision                          | PlayStation | 1998 | Europe
|       | Pop n' Pop                                                                                             | Virgin Interactive                  | PlayStation | 1998 | Europe
|       | Populous: The Beginning                                                                                | Electronic Arts                     | PlayStation | 1999 | Europe
|       | Porsche 2000 / Moto Racer 2                                                                            | Electronic Arts                     | PlayStation | 2002 | Europe
|       | Porsche Challenge                                                                                      | SCEE                                | PlayStation | 1997 | Europe
|       | Power Diggerz                                                                                          | JVC Digital Studios                 | PlayStation | 2001 | Europe
|       | Power Move Pro Wrestling                                                                               | Activision                          | PlayStation | 1997 | Europe
|       | Power Rangers Zeo: Full Tilt Battle Pinball                                                            | Bandai                              | PlayStation | 1997 | Europe
|       | Power Rangers: Lightspeed Rescue                                                                       | THQ                                 | PlayStation | 2000 | Europe
|       | Power Rangers: Time Force                                                                              | THQ                                 | PlayStation | 2001 | Europe
|       | Power Serve                                                                                            | Ocean                               | PlayStation | 1996 | Europe
|       | Power Source: Prince's Trust Disc                                                                      | SCEE                                | PlayStation | 1997 | Europe
|       | Powerpuff Girls: Chemical X-Traction, The                                                              | Bam Entertainment                   | PlayStation | 2001 | Europe
|       | Poy Poy                                                                                                | Konami                              | PlayStation | 1998 | Europe
|       | Poy Poy 2                                                                                              | Konami                              | PlayStation | 1998 | Europe
|       | Premier Manager 98                                                                                     | Gremlin Interactive                 | PlayStation | 1998 | Europe
|       | Premier Manager Ninety Nine                                                                            | Gremlin Interactive                 | PlayStation | 1999 | Europe
|       | Primal Rage                                                                                            | Time Warner Interactive             | PlayStation | 1996 | Europe
|       | Primera Division Stars                                                                                 | Electronic Arts                     | PlayStation | 1999 | Europe
|       | Prism Land                                                                                             | Midas Interactive Entertainment     | PlayStation | 2000 | Europe
|       | Pro 18: World Tour Golf                                                                                | Psygnosis                           | PlayStation | 1999 | Europe
|       | Pro Backgammon                                                                                         | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Pro Bodyboarding                                                                                       | Midas Interactive Entertainment     | PlayStation | 2002 | Europe
|       | Pro Evolution Soccer                                                                                   | Konami                              | PlayStation | 2002 | Europe
|       | Pro Evolution Soccer 2                                                                                 | Konami                              | PlayStation | 2002 | Europe
|       | Pro Pinball: Big Race USA                                                                              | Take-Two Interactive                | PlayStation | 2000 | Europe
|       | Pro Pinball: Fantastic Journey                                                                         | Empire Interactive                  | PlayStation | 2001 | Europe
|       | Pro Pinball: The Web                                                                                   | Empire Interactive                  | PlayStation | 1996 | Europe
|       | Pro Pinball: Timeshock!                                                                                | Empire Interactive                  | PlayStation | 1998 | Europe
|       | Pro Racer                                                                                              | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | Project Overkill                                                                                       | Konami                              | PlayStation | 1996 | Europe
|       | PS One Kids Autumn 2000                                                                                | SCEE                                | PlayStation | 2000 | Europe
|       | Psybadek                                                                                               | Psygnosis                           | PlayStation | 1998 | Europe
|       | Psychic Detective                                                                                      | Electronic Arts                     | PlayStation | 1996 | Europe
|       | Psychic Force                                                                                          | Acclaim                             | PlayStation | 1997 | Europe
|       | Psychic Force 2                                                                                        | JVC Digital Studios                 | PlayStation | 2001 | Europe
|       | Puchi Carat                                                                                            | Event Horizon Software              | PlayStation | 2000 | Europe
|       | Puma Street Soccer                                                                                     | SunSoft                             | PlayStation | 1999 | Europe
|       | Puzznic                                                                                                | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | Q*bert                                                                                                 | Hasbro Interactive                  | PlayStation | 2000 | Europe
|       | Quake II                                                                                               | Activision                          | PlayStation | 1999 | Europe
|       | R-Type Delta                                                                                           | SCEE                                | PlayStation | 1999 | Europe
|       | R-Types                                                                                                | Virgin Interactive                  | PlayStation | 1998 | Europe
